name	model	Number_passengers	registration_number	type	total_numberCar	preise per day
BMW	5-series	2		Luxy	3	
Audi	A5	2		Luxy	2	
Mercedes-Benz	E-Class	2		Luxy	1	
Jaguar	XE	2		Luxy	5	
Honda	CR-V	8		SUV	3	
Nissan	Passfinder	8		SUV	2	
Hyndai	Tucson	8		SUV	1	
Volkswagen	Tiguan	8		SUV	4	
BMW	3Series	4		Hatchback	3	
Audi	S6	4		Hatchback	2	
Hyundai Elantra	GT	4		Hatchback	4	
Ford	Focus	4		Hatchback	3	
Skoda	Slavia	4		Sendan	2	
Mercedes-Benz 	c-class	4		Sendan	4	
Audi	A4	4		Sendan	1	
Volkswagen	Virtus	4		Sendan	5	
